시각,,,유입,유출,,,,,총인원(검산용),버스,,,
시,분,초,온 사람,관02,5516,5513,셔틀,이탈,버스 오기 전,버스 번호,낙성대 도착 시각(시분초),,
5,2,40,,,,,,,0,,,,
,3,32,1,,,,,,1,,,,
,4,20,1,,,,,,2,,,,
,,29,1,,,,,,3,,,,
,5,11,2,,,,,,5,,,,
,,27,,4,,,,,1,8906,5,19,50
,6,2,,,,,0,,1,,,,
,,18,,,,,,1,0,,,,
,,34,2,,,,,,2,,,,
,8,50,1,,,,,,3,,,,
,9,24,,2,,,,,1,5294,5,23,45
,10,14,1,,,,,,2,,,,
,11,47,,,,,0,,2,,,,
,13,6,2,,,,,,4,,,,
,,7,,,,3,,,1,,,,
,,56,,1,,,,,0,8911,5,28,39
,15,18,1,,,,,,1,,,,
,16,0,1,,,,,,2,,,,
,,6,1,,,,,,3,,,,
,17,36,,,,,1,,2,,,,
,,50,,2,,,,,0,8985,5,33,4
,18,56,1,,,,,,1,,,,
,20,4,1,,,,,,2,,,,
,,6,,,0,,,,2,,,,
,21,25,,2,,,,,0,8910,5,34,50
,23,8,,,0,,,,0,,,,
,24,24,2,,,,,,2,,,,
,,31,,,,,0,,2,,,,
,,57,1,,,,,,3,,,,
,25,3,,3,,,,,0,9038,5,38,0
,26,37,1,,,,,,1,,,,
,27,37,,,,1,,,0,,,,
,29,18,2,,,,,,2,,,,
,,35,,2,,,,,0,5164,5,45,25
,,36,,,0,,,,0,,,,
,30,43,1,,,,,,1,,,,
,31,26,,,,,0,,1,,,,
,32,6,2,,,,,,3,,,,
,,,6,,,,,,9,,,,
,34,10,,6,,,,,3,8905,5,51,50
,,,2,,,,,,5,,,,
,,,1,,,,,,6,,,,
,37,50,,4,,,,,2,8904,5,52,32
,38,25,,,,,,,2,,,,
,,,2,,,,,,4,,,,
,38,45,,,1,,,,3,,,,
,,,,,,,,1,2,,,,
,,36,1,,,,,,3,,,,
,41,37,,1,,,,,2,8907,5,57,21
,,57,1,,,,,,3,,,,
,42,8,,,,3,,,0,,,,
,43,56,,,0,,,,0,,,,
,44,29,1,,,,,,1,,,,
,,42,,,,,0,,1,,,,
,45,41,,1,,,,,0,5165,6,0,50
,46,51,,,,0,,,0,,,,
,47,59,1,,,,,,1,,,,
,48,17,1,,,,,,2,,,,
,,34,2,,,,,,4,,,,
,49,24,1,,,,,,5,,,,
,,46,2,,,,,,7,,,,
,,50,,5,,,,,2,9037,6,5,23
,51,8,,,,,0,,2,,,,
,,27,1,,,,,,3,,,,
,,57,2,,,,,,5,,,,
,52,17,,,0,,,,5,,,,
,53,14,,4,,,,,1,8906,6,6,52
,55,35,,,,1,,,0,,,,
,57,27,,0,,,,,0,5294,6,14,23
,58,25,1,,,,,,1,,,,
,58,58,,,,,0,,1,,,,
6,0,44,3,,,,,,4,,,,
,1,1,1,,,,,,5,,,,
,,40,1,,,,,,6,,,,
,2,15,2,,,,,,8,,,,
,,16,,6,,,,,2,8911,6,18,30
,3,13,1,,,,,,3,,,,
,,39,2,,,,,,5,,,,
,,50,1,,,,,,6,,,,
,,56,,,,,0,,6,,,,
,4,29,1,,,,,,7,,,,
,5,45,1,,,,,,8,,,,
,,46,,4,,,,,4,8985,6,22,20
,6,38,1,,,,,,5,,,,
,7,14,4,,,,,,9,,,,
,,58,1,,,,,,10,,,,
,,59,,,-1,,,,11,,,,
,8,27,3,,,,,,14,,,,
,9,20,4,,,,,,18,,,,
,,30,,12,,,,,6,8910,6,27,18
,,53,,,,6,,,0,,,,
,10,22,2,,,,,,2,,,,
,,27,1,,,,,,3,,,,
,,31,1,,,,,,4,,,,
,,49,3,,,,,,7,,,,
,,54,,,,,1,,6,,,,
,12,14,2,,,,,,8,,,,
,,54,1,,,,,,9,,,,
,13,2,,,1,,,,8,,,,
,,23,,6,,,,,2,9038,6,29,59
,15,22,2,,,,,,4,,,,
,,29,1,,,,,,5,,,,
,,38,1,,,,,,6,,,,
,,45,1,,,,,,7,,,,
,,58,2,,,,,,9,,,,
,16,2,2,,,,,,11,,,,
,,25,1,,,,,,12,,,,
,17,6,,9,,,,,3,5164,,,
,18,12,,,0,,,,3,,,,
,,55,1,,,,,,4,,,,
,19,35,2,,,,,,6,,,,
,,56,1,,,,,,7,,,,
,20,10,,,,,3,,4,,,,
,21,20,1,,,,,,5,,,,
,,29,1,,,,,,6,,,,
,,34,,5,,,,,1,8905,,,
,22,56,,,,,-3,,4,,,,
,23,9,1,,,,,,5,,,,
,,43,2,,,,,,7,,,,
,,46,,,,1,,,6,,,,
,24,15,,,,,,1,5,,,,
,25,31,1,,,,,,6,,,,
,26,41,,5,,,,,1,8904,,,
,27,18,1,,,,,,2,,,,
,28,6,1,,,,,,3,,,,
,,50,1,,,,,,4,,,,
,29,1,1,,,,,,5,,,,
,,52,1,,,,,,6,,,,
,31,15,1,,,,,,7,,,,
,,25,,,,,0,,7,,,,
,,31,,6,,,,,1,,,,
