시각,,,유입,유출,,,,,총인원(검산용),버스,,,
시,분,초,온 사람,관02,5516,5513,셔틀,이탈,버스 오기 전,버스 번호,낙성대 도착 시각(시분초),,
5,0,0,,,,,,,0,,,,
5,0,20,1,,,,,,1,,,,
,3,6,2,,,,,,3,,,,
,,50,,,,,0,,3,,,,
,4,50,,2,,,,,1,5007,5,21,53
,5,46,2,,,,,,3,,,,
,6,23,1,,,,,,4,,,,
,7,51,2,,,,,,6,,,,
,8,10,,,0,,,,6,,,,
,9,58,2,,,,,,8,,,,
,,45,,6,,,,,2,9037,5,24,20
,11,8,1,,,,,,3,,,,
,,48,,,,,1,,2,,,,
,12,35,1,,,,,,3,,,,
,,56,3,,,,,,6,,,,
,13,25,,,,2,,,4,,,,
,,30,1,,,,,,5,,,,
,,50,,5,,,,,0,8907,,26,1
,14,10,,,0,,,,0,,,,
,17,30,1,,,,,,1,,,,
,,40,,1,,,,,0,8906,,30,4
,18,29,,,,,0,,0,,,,
,,57,,,0,,,,0,,,,
,20,24,1,,,,,,1,,,,
,21,26,1,,,,,,2,,,,
,,32,,1,,,,,1,8910,,36,17
,,56,1,,,,,,2,,,,
,22,40,1,,,,,,3,,,,
,23,39,2,,,,,,5,,,,
,,58,,,,,0,,5,,,,
,24,21,1,,,,,,6,,,,
,25,27,1,,,,,,7,,,,
,,28,,4,,,,,3,8985,,40,55
,26,30,1,,,,,,4,,,,
,,50,,,,3,,,1,,,,
,27,30,1,,,,,,2,,,,
,28,12,,,1,,,,1,,,,
,29,12,2,,,,,,3,,,,
,,38,1,,,,,,4,,,,
,,49,,4,,,,,0,8911,,46,55
,30,45,,,,,0,,0,,,,
,31,48,,,,0,,,0,,,,
,32,41,1,,,,,,1,,,,
,33,0,3,,,,,,4,,,,
,,19,,4,,,,,0,9038,,47,32
,,42,1,,,,,,1,,,,
,37,11,1,,,,,,2,,,,
,,17,,,1,,,,1,,,,
,,41,1,,,,,,2,,,,
,,46,,2,,,,,0,5164,,52,2
,38,16,,,,,0,,0,,,,
,39,18,1,,,,,,1,,,,
,,19,1,,,,,,2,,,,
,,50,1,,,,,,3,,,,
,40,56,1,,,,,,4,,,,
,41,27,1,,,,,,5,,,,
,,37,,,,1,,,4,,,,
,,57,,4,,,,,0,8909,,56,10
,43,4,1,,,,,,1,,,,
,,35,1,,,,,,2,,,,
,44,7,1,,,,,,3,,,,
,,29,,,,,1,,2,,,,
,45,41,1,,,,,,3,,,,
,46,6,,3,,,,,0,8904,6,2,55
,,56,,,0,,,,0,,,,
,49,16,1,,,,,,1,,,,
,,20,1,,,,,,2,,,,
,,27,,2,,,,,0,8907,,5,21
,,59,1,,,,,,1,,,,
,50,19,1,,,,,,2,,,,
,,55,1,,,,,,3,,,,
,51,54,,,,,1,,2,,,,
,52,26,3,,,,,,5,,,,
,,34,1,,,,,,6,,,,
,,41,1,,,,,,7,,,,
,53,30,1,,,,,,8,,,,
,,32,1,,,,,,9,,,,
,,38,1,,,,,,10,,,,
,,46,1,,,,,,11,,,,
,,50,1,,,,,,12,,,,
,,51,,10,,,,,2,5007,,10,23
,55,13,,,,0,,,2,,,,
,,48,,,1,,,,1,,,,
,56,50,1,,,,,,2,,,,
,57,24,1,,,,,,3,,,,
,,29,1,,,,,,4,,,,
,,30,,3,,,,,1,9037,,17,28
,58,34,,,,,1,,0,,,,
,,48,1,,,,,,1,,,,
,59,28,1,,,,,,2,,,,
,,43,,,,,,1,1,,,,
,,52,2,,,,,,3,,,,
6,0,12,1,,,,,,4,,,,
,1,35,1,,,,,,5,,,,
,,36,,5,,,,,0,5165,,18,3
,2,37,1,,,,,,1,,,,
,,50,1,,,,,,2,,,,
,3,6,2,,,,,,4,,,,
,,17,1,,,,,,5,,,,
,,37,1,,,,,,6,,,,
,4,13,1,,,,,,7,,,,
,,22,,,,,0,,7,,,,
,,30,1,,,,,,8,,,,
,5,2,3,,,,,,11,,,,
,,7,1,,,,,,12,,,,
,,8,1,,,,,,13,,,,
,,35,1,,,,,,14,,,,
,,36,,12,,,,,2,8906,,24,37
,6,39,2,,,,,,4,,,,
,,56,1,,,,,,5,,,,
,7,1,1,,,,,,6,,,,
,,16,1,,,,,,7,,,,
,,33,3,,,,,,10,,,,
,,50,1,,,,,,11,,,,
,8,31,2,,,,,,13,,,,
,,35,2,,,,,,15,,,,
,9,20,2,,,,,,17,,,,
,,21,,5,,,,,12,8910,,27,8
,,27,,,,10,,,2,,,,
,,58,2,,,,,,4,,,,
,10,2,1,,,,,,5,,,,
,,48,1,,,,,,6,,,,
,11,29,1,,,,,,7,,,,
,,46,,,,,1,,6,,,,
,13,13,,5,,,,,1,8985,,29,4
,,55,1,,,,,,2,,,,
,14,56,2,,,,,,4,,,,
,15,6,,,1,,,,3,,,,
,,15,1,,,,,,4,,,,
,16,8,1,,,,,,5,,,,
,,20,1,,,,,,6,,,,
,17,7,1,,,,,,7,,,,
,18,1,,6,,,,,1,8911,,30,40
,,5,3,,,,,,4,,,,
,19,37,,,,,3,,1,,,,
,20,55,,,0,,,,1,,,,
,21,26,,0,,,,,1,9038,,33,46
,,57,,,,,0,,1,,,,
,22,42,1,,,,,,2,,,,
,23,5,2,,,,,,4,,,,
,,13,,,,2,,,2,,,,
,24,45,3,,,,,,5,,,,
,,46,,5,,,,,0,5164,,40,7
,26,46,1,,,,,,1,,,,
,27,36,1,,,,,,2,,,,
,28,8,1,,,,,,3,,,,
,,40,1,,,,,,4,,,,
,29,24,,4,,,,,0,8909,,43,20
,30,0,2,,,,,,2,,,,
