1700,,,,,,,,,,,,,,,,,,,,,,,,,,,
1701,,,,,,,,,,,,,,,,,,,1,9,0,0,21,9,0,25,16
1702,,,,,,,1,10,0,,,,1,6,0,1,12,0,,,,,,,,,
1703,,,,0,28,7,,,,,,,,,,,,,,,,,,,,,
1704,,,,,,,,,,,,,,,,,,,,,,,,,,,
1705,,,,,,,,,,,,,,,,,,,,,,,,,,,
1706,,,,,,,,,,,,,,,,,,,,,,,,,,,
1707,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709,,,,,,,,,,,,,,,,,,,,,,,,,0,15,3
1710,,,,,,,,,,,,,1,10,0,,,,1,21,0,0,25,1,,,
1711,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712,,,,,,,0,12,2,,,,,,,1,11,0,,,,,,,,,
1713,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714,,,,1,17,0,,,,,,,,,,,,,,,,,,,,,
1715,,,,,,,,,,0,24,23,,,,,,,,,,,,,,,
1716,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718,,,,,,,,,,,,,,,,0,5,1,,,,,,,,,
1719,,,,,,,,,,,,,,,,,,,,,,,,,,,
1720,,,,,,,,,,,,,1,18,0,,,,,,,,,,0,6,1
1721,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722,,,,0,16,3,,,,,,,,,,,,,1,16,0,0,14,1,,,
1723,,,,,,,0,12,2,0,26,2,,,,,,,,,,,,,,,
1724,,,,,,,,,,,,,,,,,,,,,,,,,,,
1725,,,,,,,,,,,,,,,,,,,,,,,,,,,
1726,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727,,,,,,,,,,,,,,,,,,,,,,,,,,,
1728,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,,,,,,,,,,,,,,,,0,16,2,,,,,,,,,
1730,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0
1731,,,,,,,0,17,2,,,,,,,,,,0,15,1,1,13,0,,,
1732,,,,,,,,,,,,,1,12,0,,,,,,,,,,,,
1733,,,,1,14,0,,,,0,5,2,,,,,,,,,,,,,,,
1734,,,,,,,,,,,,,,,,,,,,,,,,,,,
1735,,,,,,,,,,,,,,,,,,,,,,,,,,,
1736,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737,,,,,,,,,,,,,,,,,,,,,,,,,,,
1738,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739,,,,,,,,,,,,,,,,,,,,,,,,,,,
1740,,,,,,,,,,,,,,,,,,,,,,,,,,,
1741,,,,,,,,,,,,,,,,,,,,,,,,,0,11,4
1742,,,,,,,,,,1,10,0,1,4,0,0,14,1,,,,,,,,,
1743,,,,,,,,,,,,,,,,,,,,,,,,,,,
1744,,,,,,,0,19,12,,,,,,,,,,,,,1,15,0,,,
1745,,,,0,13,1,,,,,,,,,,,,,,,,,,,,,
1746,,,,,,,,,,,,,,,,,,,,,,,,,,,
1747,,,,,,,,,,,,,,,,,,,,,,,,,,,
1748,,,,,,,,,,,,,,,,,,,,,,,,,,,
1749,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,,,,,,,,,,1,18,0,,,,1,7,0,,,,,,,,,
1751,,,,0,13,3,,,,,,,,,,,,,1,11,0,,,,,,
1752,,,,,,,0,29,9,,,,,,,,,,,,,,,,0,14,5
1753,,,,,,,,,,,,,0,23,3,,,,,,,,,,,,
1754,,,,,,,,,,,,,,,,,,,,,,0,14,2,,,
1755,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756,,,,,,,,,,,,,,,,,,,,,,,,,,,
1757,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759,,,,,,,,,,,,,,,,0,15,15,,,,,,,,,
1800,,,,,,,,,,,,,,,,,,,,,,,,,,,
1801,0,19,9,,,,,,,,,,,,,,,,,,,1,12,0,,,
1802,,,,1,15,0,,,,,,,,,,,,,1,13,0,,,,,,
1803,,,,,,,0,18,4,1,2,0,,,,,,,,,,,,,0,11,1
1804,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,,,,,,,,,,,,,,,,,,,,,,,,,,,
1806,,,,,,,,,,,,,0,28,26,,,,,,,,,,,,
1807,,,,,,,,,,,,,,,,,,,,,,,,,,,
1808,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,,,,,,,,,,,,,,,,,,,,,,,,,,,
1811,,,,,,,,,,,,,1,19,0,0,20,1,,,,,,,,,
1812,,,,0,10,4,,,,1,2,0,,,,,,,,,,0,14,1,,,
1813,,,,,,,,,,,,,,,,,,,1,15,0,,,,,,
1814,,,,,,,,,,,,,,,,,,,,,,,,,,,
1815,0,29,29,,,,0,17,1,,,,,,,,,,,,,,,,0,25,3
1816,,,,,,,,,,,,,,,,,,,,,,,,,,,
1817,,,,,,,,,,,,,,,,,,,,,,,,,,,
1818,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,,,,,,,,,,,,,,,,,,,,,,,,,,,
1820,,,,,,,,,,1,6,0,,,,,,,,,,,,,,,
1821,,,,,,,,,,,,,,,,,,,,,,,,,,,
1822,,,,,,,,,,,,,,,,,,,,,,,,,0,13,1
1823,0,21,9,,,,,,,,,,,,,0,8,5,,,,,,,,,
1824,,,,0,12,4,,,,,,,,,,,,,,,,0,15,9,,,
1825,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,,,,,,,1,13,0,,,,0,12,1,,,,,,,,,,,,
1827,,,,,,,,,,1,10,0,,,,,,,,,,,,,,,
1828,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829,,,,,,,,,,,,,,,,,,,0,10,1,,,,,,
1830,1,15,0,,,,,,,,,,,,,,,,,,,,,,,,
1831,,,,0,12,4,,,,,,,,,,,,,,,,,,,,,
1832,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,,,,,,,,,,,,,1,13,0,,,,,,,,,,0,11,11
1834,,,,,,,,,,,,,,,,0,18,10,,.,,,,,,,
1835,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,,,,,,,1,13,0,,,,,,,,,,,,,,,,,,
1837,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841,,,,,,,,,,,,,,,,,,,,,,,,,,,
